type,question,answer,explanation
MCQ_Director,"Ai là đạo diễn của phim 'The Green Mile'?
A. Frank Darabont
B. Todd Phillips
C. James Gunn
D. Terrence Malick",A,Đạo diễn của 'The Green Mile' là Frank Darabont.
1-hop_YesNo,Noah Schnapp có tham gia bộ phim 'Bridge of Spies' không?,Yes,"Đúng, Noah Schnapp là diễn viên trong phim Bridge of Spies."
2-hop_CoActor,Emily Stofle và Liam Neeson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Jumanji: The Next Level'?
A. Jake Kasdan
B. Tommy Wiseau
C. Michael B. Jordan
D. Adam McKay",A,Đạo diễn của 'Jumanji: The Next Level' là Jake Kasdan.
Family,Cha/Mẹ của Nicole Kidman là ai?,Janelle Kidman,Janelle Kidman là cha/mẹ của Nicole Kidman.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Blade Runner 2049' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Blade Runner 2049."
MCQ_Director,"Ai là đạo diễn của phim 'The 355'?
A. Simon Kinberg
B. Chris Buck
C. Rob Cohen
D. David Fincher",A,Đạo diễn của 'The 355' là Simon Kinberg.
MCQ_Director,"Ai là đạo diễn của phim '13 Hours: The Secret Soldiers of Benghazi'?
A. Michael Bay
B. David Schwimmer
C. Aaron Toronto
D. David Lynch",A,Đạo diễn của '13 Hours: The Secret Soldiers of Benghazi' là Michael Bay.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'John Wick' không?,No,"Sai, Martha Lynch Levacy không tham gia phim John Wick."
2-hop_CoActor,Emily Stofle và Emma Heming Willis có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Into the Woods'?
A. John Francis Daley
B. David Fincher
C. Brad Bird
D. Rob Marshall",D,Đạo diễn của 'Into the Woods' là Rob Marshall.
2-hop_CoActor,Faran Tahir và Sylvester Stallone có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Escape Plan'."
1-hop_YesNo,Colin Trevorrow có tham gia bộ phim 'Jurassic World' không?,Yes,"Đúng, Colin Trevorrow là diễn viên trong phim Jurassic World."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Dances with Wolves' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Dances with Wolves."
1-hop_YesNo,Andy Garcia có tham gia bộ phim 'The Godfather Part III' không?,Yes,"Đúng, Andy Garcia là diễn viên trong phim The Godfather Part III."
Family_YesNo,John Cusack có phải là cha/mẹ của Dick Cusack không?,No,"Sai, John Cusack là con của Dick Cusack."
1-hop_YesNo,Arnold Schwarzenegger có tham gia bộ phim 'Terminator 3: Rise of the Machines' không?,Yes,"Đúng, Arnold Schwarzenegger là diễn viên trong phim Terminator 3: Rise of the Machines."
2-hop_CoActor,Emily Stofle và Chuck Norris có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'One Battle After Another'?
A. Brad Bird
B. Q361336
C. Steve Antin
D. Paul Thomas Anderson",D,Đạo diễn của 'One Battle After Another' là Paul Thomas Anderson.
1-hop_YesNo,Shelley Duvall có tham gia bộ phim 'Annie Hall' không?,Yes,"Đúng, Shelley Duvall là diễn viên trong phim Annie Hall."
2-hop_CoActor,Martin Donovan và Terrence Howard có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sabotage'."
Family_YesNo,M. Night Shyamalan có phải là cha/mẹ của Ishana Shyamalan không?,No,"Sai, M. Night Shyamalan là con của Ishana Shyamalan."
2-hop_CoActor,Emily Stofle và Brian Wilson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Boyd Holbrook có tham gia bộ phim 'Indiana Jones and the Dial of Destiny' không?,Yes,"Đúng, Boyd Holbrook là diễn viên trong phim Indiana Jones and the Dial of Destiny."
2-hop_CoActor,Alec Baldwin và Adam Driver có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'BlacKkKlansman'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Promising Young Woman' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Promising Young Woman."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Green Mile' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Green Mile."
1-hop_YesNo,Taylor Swift có tham gia bộ phim 'Miss Americana' không?,Yes,"Đúng, Taylor Swift là diễn viên trong phim Miss Americana."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Miss Americana' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Miss Americana."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Steve Jobs' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Steve Jobs."
Family_YesNo,Wentworth Miller có phải là cha/mẹ của Wentworth Miller không?,No,"Sai, Wentworth Miller là con của Wentworth Miller."
Family,Cha/Mẹ của Alec Baldwin là ai?,Alexander Baldwin,Alexander Baldwin là cha/mẹ của Alec Baldwin.
Family_YesNo,Oliver Stone có phải là cha/mẹ của Jacqueline Goddet không?,No,"Sai, Oliver Stone là con của Jacqueline Goddet."
Family_YesNo,Martin Starr có phải là cha/mẹ của Jean St. James không?,No,"Sai, Martin Starr là con của Jean St. James."
Family,Cha/Mẹ của Jake Kasdan là ai?,Meg Kasdan,Meg Kasdan là cha/mẹ của Jake Kasdan.
MCQ_Director,"Ai là đạo diễn của phim 'The Jungle Book'?
A. Timothy Linh Bui
B. Ryan Coogler
C. Jon Favreau
D. Zack Snyder",C,Đạo diễn của 'The Jungle Book' là Jon Favreau.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Wall Street' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Wall Street."
2-hop_CoActor,Emily Stofle và Cathy Scorsese có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của William Hurt là ai?,Alfred McChord Hurt,Alfred McChord Hurt là cha/mẹ của William Hurt.
MCQ_Director,"Ai là đạo diễn của phim 'Ratatouille'?
A. Brad Bird
B. Maggie Gyllenhaal
C. Wang Leehom
D. Terrence Malick",A,Đạo diễn của 'Ratatouille' là Brad Bird.
MCQ_Director,"Ai là đạo diễn của phim 'The Curious Case of Benjamin Button'?
A. Q2444076
B. John Hamburg
C. David Fincher
D. Jon Watts",C,Đạo diễn của 'The Curious Case of Benjamin Button' là David Fincher.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Greyhound' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Greyhound."
1-hop_YesNo,Vince Offer có tham gia bộ phim 'Jack and Jill' không?,Yes,"Đúng, Vince Offer là diễn viên trong phim Jack and Jill."
MCQ_Director,"Ai là đạo diễn của phim 'Bolt'?
A. Steven Spielberg
B. Byron Howard
C. Jonathan Demme
D. James Gunn",B,Đạo diễn của 'Bolt' là Byron Howard.
1-hop_YesNo,Leonardo DiCaprio có tham gia bộ phim 'Once Upon a Time in Hollywood' không?,Yes,"Đúng, Leonardo DiCaprio là diễn viên trong phim Once Upon a Time in Hollywood."
Family,Cha/Mẹ của Jay-Z là ai?,Gloria Carter,Gloria Carter là cha/mẹ của Jay-Z.
MCQ_Director,"Ai là đạo diễn của phim 'The Smurfs 2'?
A. Darren Aronofsky
B. Neil Burger
C. Raja Gosnell
D. Ryan Murphy",C,Đạo diễn của 'The Smurfs 2' là Raja Gosnell.
Family,Cha/Mẹ của River Phoenix là ai?,Arlyn Phoenix,Arlyn Phoenix là cha/mẹ của River Phoenix.
MCQ_Director,"Ai là đạo diễn của phim 'Abduction'?
A. Jackie Chan
B. John Singleton
C. Michael Patrick King
D. Gore Verbinski",B,Đạo diễn của 'Abduction' là John Singleton.
MCQ_Director,"Ai là đạo diễn của phim 'Rush Hour 2'?
A. Channing Tatum
B. Steven C. Miller
C. Francis Lawrence
D. Brett Ratner",D,Đạo diễn của 'Rush Hour 2' là Brett Ratner.
2-hop_CoActor,Johnny Depp và Andrew Garfield có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Imaginarium of Doctor Parnassus'."
MCQ_Director,"Ai là đạo diễn của phim 'Don't Look Up'?
A. Adam McKay
B. George Clooney
C. Brad Bird
D. Akiva Goldsman",A,Đạo diễn của 'Don't Look Up' là Adam McKay.
Family_YesNo,Oprah Winfrey có phải là cha/mẹ của Vernon Winfrey không?,No,"Sai, Oprah Winfrey là con của Vernon Winfrey."
Family_YesNo,Jennifer Aniston có phải là cha/mẹ của John Aniston không?,No,"Sai, Jennifer Aniston là con của John Aniston."
Family_YesNo,Brooke Shields có phải là cha/mẹ của Francis Alexander Shields không?,No,"Sai, Brooke Shields là con của Francis Alexander Shields."
Family,Cha/Mẹ của Liev Schreiber là ai?,Tell Schreiber,Tell Schreiber là cha/mẹ của Liev Schreiber.
2-hop_CoActor,Terry Crews và Bruce Willis có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables'."
2-hop_CoActor,Lenny Kravitz và Whoopi Goldberg có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family_YesNo,M. Night Shyamalan có phải là cha/mẹ của Nelliate C. Shyamalan không?,No,"Sai, M. Night Shyamalan là con của Nelliate C. Shyamalan."
Family_YesNo,Rob Reiner có phải là cha/mẹ của Estelle Reiner không?,No,"Sai, Rob Reiner là con của Estelle Reiner."
2-hop_CoActor,Emily Stofle và Larry Ellison có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Tom Selleck có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Texas Chainsaw Massacre: The Beginning' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Texas Chainsaw Massacre: The Beginning."
Family,Cha/Mẹ của Ellen DeGeneres là ai?,Elliott Everett DeGeneres Jr.,Elliott Everett DeGeneres Jr. là cha/mẹ của Ellen DeGeneres.
Family,Cha/Mẹ của Christian Bale là ai?,Jenny James,Jenny James là cha/mẹ của Christian Bale.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Marriage Story' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Marriage Story."
2-hop_CoActor,Emily Stofle và Adrienne Barbeau có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'War Horse' không?,No,"Sai, Martha Lynch Levacy không tham gia phim War Horse."
2-hop_CoActor,Emily Stofle và Melanie Craft có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,James Badge Dale có phải là cha/mẹ của Grover Dale không?,No,"Sai, James Badge Dale là con của Grover Dale."
MCQ_Director,"Ai là đạo diễn của phim 'The Nice Guys'?
A. Michael Crichton
B. Shane Black
C. Greg Berlanti
D. Marc Webb",B,Đạo diễn của 'The Nice Guys' là Shane Black.
MCQ_Director,"Ai là đạo diễn của phim 'Night at the Museum: Secret of the Tomb'?
A. Shane Black
B. Shawn Levy
C. Darren Aronofsky
D. Mike Mitchell",B,Đạo diễn của 'Night at the Museum: Secret of the Tomb' là Shawn Levy.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Fatal Attraction' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Fatal Attraction."
2-hop_CoActor,Stone Cold Steve Austin và Bruce Willis có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables'."
2-hop_CoActor,Emily Stofle và Anna Anka có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Way of the Dragon' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Way of the Dragon."
Family,Cha/Mẹ của Will Smith là ai?,Willard Carroll Smith Sr.,Willard Carroll Smith Sr. là cha/mẹ của Will Smith.
1-hop_YesNo,Linda Hamilton có tham gia bộ phim 'Terminator 2: Judgment Day' không?,Yes,"Đúng, Linda Hamilton là diễn viên trong phim Terminator 2: Judgment Day."
MCQ_Director,"Ai là đạo diễn của phim 'Alice in Wonderland'?
A. Rich Moore
B. Alan Taylor
C. Tim Burton
D. Zoë Kravitz",C,Đạo diễn của 'Alice in Wonderland' là Tim Burton.
MCQ_Director,"Ai là đạo diễn của phim 'Army of Darkness'?
A. Sam Raimi
B. Jennifer Lee
C. Jackie Chan
D. David Fincher",A,Đạo diễn của 'Army of Darkness' là Sam Raimi.
Family,Cha/Mẹ của Glenn Close là ai?,William Close,William Close là cha/mẹ của Glenn Close.
2-hop_CoActor,Emily Stofle và Seargeoh Stallone có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'The Fighter'?
A. David O. Russell
B. Todd Phillips
C. Destin Daniel Cretton
D. James Nguyen",A,Đạo diễn của 'The Fighter' là David O. Russell.
2-hop_CoActor,Emily Stofle và Levon Helm có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Michael Jackson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Chris Pine có phải là cha/mẹ của Robert Pine không?,No,"Sai, Chris Pine là con của Robert Pine."
2-hop_CoActor,Malcolm Gets và Michael Bloomberg có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sex and the City'."
Family_YesNo,Q3772 có phải là cha/mẹ của Connie McHugh không?,No,"Sai, Q3772 là con của Connie McHugh."
1-hop_YesNo,Johnny Depp có tham gia bộ phim 'The Imaginarium of Doctor Parnassus' không?,Yes,"Đúng, Johnny Depp là diễn viên trong phim The Imaginarium of Doctor Parnassus."
Family,Cha/Mẹ của Jennifer Aniston là ai?,Nancy Dow,Nancy Dow là cha/mẹ của Jennifer Aniston.
2-hop_CoActor,Emily Stofle và Salman Rushdie có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Q5608 là ai?,Gissela Marlene Urban,Gissela Marlene Urban là cha/mẹ của Q5608.
MCQ_Director,"Ai là đạo diễn của phim 'Oz the Great and Powerful'?
A. Sam Raimi
B. John Francis Daley
C. Jake Kasdan
D. John Carpenter",A,Đạo diễn của 'Oz the Great and Powerful' là Sam Raimi.
Family_YesNo,Macaulay Culkin có phải là cha/mẹ của Patricia Brentrup không?,No,"Sai, Macaulay Culkin là con của Patricia Brentrup."
2-hop_CoActor,Emily Stofle và Kevin Love có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Brooke Smith có tham gia bộ phim 'The Silence of the Lambs' không?,Yes,"Đúng, Brooke Smith là diễn viên trong phim The Silence of the Lambs."
Family_YesNo,Justin Theroux có phải là cha/mẹ của Eugène Theroux không?,No,"Sai, Justin Theroux là con của Eugène Theroux."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Captain Marvel' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Captain Marvel."
Family,Cha/Mẹ của Patrick Swayze là ai?,Patsy Swayze,Patsy Swayze là cha/mẹ của Patrick Swayze.
MCQ_Director,"Ai là đạo diễn của phim 'Into the Wild'?
A. Brad Bird
B. Wally Pfister
C. Sean Penn
D. Noah Baumbach",C,Đạo diễn của 'Into the Wild' là Sean Penn.
2-hop_CoActor,Beyoncé và Whoopi Goldberg có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family,Cha/Mẹ của Helen Mirren là ai?,Kitty Rogers,Kitty Rogers là cha/mẹ của Helen Mirren.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Adjustment Bureau' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Adjustment Bureau."
2-hop_CoActor,Mark Moses và Brooke Smith có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family,Cha/Mẹ của Christoph Waltz là ai?,Elisabeth Urbancic,Elisabeth Urbancic là cha/mẹ của Christoph Waltz.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Captain Phillips' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Captain Phillips."
2-hop_CoActor,Emily Stofle và Kevin Costner có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Texas Chainsaw Massacre' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Texas Chainsaw Massacre."
2-hop_CoActor,Stephen Root và Connie Britton có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,Kelsey Grammer có phải là cha/mẹ của Frank Allen Grammer không?,No,"Sai, Kelsey Grammer là con của Frank Allen Grammer."
MCQ_Director,"Ai là đạo diễn của phim 'The Elephant Man'?
A. Gore Verbinski
B. Tommy Wiseau
C. Dustin Nguyen
D. David Lynch",D,Đạo diễn của 'The Elephant Man' là David Lynch.
Family_YesNo,Jordan Peele có phải là cha/mẹ của Lucinda J. Peele không?,No,"Sai, Jordan Peele là con của Lucinda J. Peele."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim '1408' không?,No,"Sai, Martha Lynch Levacy không tham gia phim 1408."
Family_YesNo,Woody Harrelson có phải là cha/mẹ của Charles Harrelson không?,No,"Sai, Woody Harrelson là con của Charles Harrelson."
2-hop_CoActor,Emily Stofle và Brandon Lee có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của David Arquette là ai?,Brenda Denaut,Brenda Denaut là cha/mẹ của David Arquette.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Jurassic World: Fallen Kingdom' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Jurassic World: Fallen Kingdom."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Close Encounters of the Third Kind' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Close Encounters of the Third Kind."
Family,Cha/Mẹ của Faran Tahir là ai?,Naeem Tahir,Naeem Tahir là cha/mẹ của Faran Tahir.
2-hop_CoActor,John DiMaggio và Raven-Symoné có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
Family,Cha/Mẹ của Jon Turteltaub là ai?,Saul Turteltaub,Saul Turteltaub là cha/mẹ của Jon Turteltaub.
2-hop_CoActor,Emily Stofle và Jackie Jackson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Arnold Schwarzenegger và Joe Morton có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Terminator 2: Judgment Day'."
Family_YesNo,Mariah Carey có phải là cha/mẹ của Patricia Hickey Carey không?,No,"Sai, Mariah Carey là con của Patricia Hickey Carey."
Family,Cha/Mẹ của David Spade là ai?,Judith J. Spade,Judith J. Spade là cha/mẹ của David Spade.
Family_YesNo,Jake Kasdan có phải là cha/mẹ của Lawrence Kasdan không?,No,"Sai, Jake Kasdan là con của Lawrence Kasdan."
Family_YesNo,Tim Burton có phải là cha/mẹ của Jean Rae Erickson không?,No,"Sai, Tim Burton là con của Jean Rae Erickson."
Family_YesNo,Daniel Craig có phải là cha/mẹ của Timothy Wroughton Craig không?,No,"Sai, Daniel Craig là con của Timothy Wroughton Craig."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Shutter Island' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Shutter Island."
2-hop_CoActor,Emily Stofle và Willard Ford có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'My Name Is Khan' không?,No,"Sai, Martha Lynch Levacy không tham gia phim My Name Is Khan."
Family,Cha/Mẹ của Philip Seymour Hoffman là ai?,Marilyn O'Connor,Marilyn O'Connor là cha/mẹ của Philip Seymour Hoffman.
2-hop_CoActor,Nicolas Cage và Zachary Quinto có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
Family,Cha/Mẹ của Meryl Streep là ai?,Mary Wilkinson Streep,Mary Wilkinson Streep là cha/mẹ của Meryl Streep.
Family_YesNo,Pablo Schreiber có phải là cha/mẹ của Tell Schreiber không?,No,"Sai, Pablo Schreiber là con của Tell Schreiber."
MCQ_Director,"Ai là đạo diễn của phim 'New York, I Love You'?
A. Steven Spielberg
B. Brett Ratner
C. Craig Chester
D. John Hamburg",B,"Đạo diễn của 'New York, I Love You' là Brett Ratner."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'You Can Count on Me' không?,No,"Sai, Martha Lynch Levacy không tham gia phim You Can Count on Me."
1-hop_YesNo,Denzel Washington có tham gia bộ phim 'Philadelphia' không?,Yes,"Đúng, Denzel Washington là diễn viên trong phim Philadelphia."
Family_YesNo,Rebecca De Mornay có phải là cha/mẹ của Wally George không?,No,"Sai, Rebecca De Mornay là con của Wally George."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Jack and Jill' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Jack and Jill."
Family,Cha/Mẹ của Whitney Houston là ai?,Cissy Houston,Cissy Houston là cha/mẹ của Whitney Houston.
MCQ_Director,"Ai là đạo diễn của phim 'Bumblebee'?
A. Rich Moore
B. M. Night Shyamalan
C. Joe Johnston
D. Travis Knight",D,Đạo diễn của 'Bumblebee' là Travis Knight.
2-hop_CoActor,Sylvester Stallone và Chuck Norris có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 2'."
2-hop_CoActor,John DiMaggio và Steve Zahn có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
Family_YesNo,Adam Sandler có phải là cha/mẹ của Judy Sandler không?,No,"Sai, Adam Sandler là con của Judy Sandler."
Family,Cha/Mẹ của Brad Pitt là ai?,Jane Etta Hillhouse,Jane Etta Hillhouse là cha/mẹ của Brad Pitt.
Family_YesNo,Damien Chazelle có phải là cha/mẹ của Bernard Chazelle không?,No,"Sai, Damien Chazelle là con của Bernard Chazelle."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Ant-Man and the Wasp: Quantumania' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Ant-Man and the Wasp: Quantumania."
MCQ_Director,"Ai là đạo diễn của phim 'Super 8'?
A. Frank Oz
B. J. J. Abrams
C. Justin Lin
D. Raja Gosnell",B,Đạo diễn của 'Super 8' là J. J. Abrams.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'War of the Worlds' không?,No,"Sai, Martha Lynch Levacy không tham gia phim War of the Worlds."
2-hop_CoActor,Emily Stofle và Lymari Nadal có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Jay-Z có phải là cha/mẹ của Gloria Carter không?,No,"Sai, Jay-Z là con của Gloria Carter."
2-hop_CoActor,Linda Hamilton và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Terminator'."
1-hop_YesNo,Taylor Lautner có tham gia bộ phim 'Miss Americana' không?,Yes,"Đúng, Taylor Lautner là diễn viên trong phim Miss Americana."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Seven' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Seven."
MCQ_Director,"Ai là đạo diễn của phim 'Snowden'?
A. Drew Pearce
B. Oliver Stone
C. Patty Jenkins
D. Greg Berlanti",B,Đạo diễn của 'Snowden' là Oliver Stone.
Family,Cha/Mẹ của Cameron Boyce là ai?,Victor Boyce,Victor Boyce là cha/mẹ của Cameron Boyce.
Family,Cha/Mẹ của Linda Hamilton là ai?,Barbara Kyle Holt,Barbara Kyle Holt là cha/mẹ của Linda Hamilton.
Family,Cha/Mẹ của Alex Wolff là ai?,Polly Draper,Polly Draper là cha/mẹ của Alex Wolff.
Family_YesNo,Edward Norton có phải là cha/mẹ của Lydia Robinson Rouse không?,No,"Sai, Edward Norton là con của Lydia Robinson Rouse."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Killing Season' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Killing Season."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Avengers: Infinity War' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Avengers: Infinity War."
MCQ_Director,"Ai là đạo diễn của phim 'Iron Man'?
A. Jon Favreau
B. John Krasinski
C. Frank Darabont
D. Jon Turteltaub",A,Đạo diễn của 'Iron Man' là Jon Favreau.
2-hop_CoActor,Stephen Colbert và Kim Kardashian có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family_YesNo,Jodie Foster có phải là cha/mẹ của Lucius Fisher Foster không?,No,"Sai, Jodie Foster là con của Lucius Fisher Foster."
Family,Cha/Mẹ của Danny Huston là ai?,Zoe Sallis,Zoe Sallis là cha/mẹ của Danny Huston.
2-hop_CoActor,Emily Stofle và Echo Helstrom có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Star Wars: Episode IV – A New Hope' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Star Wars: Episode IV – A New Hope."
1-hop_YesNo,Bruce Willis có tham gia bộ phim 'The Expendables' không?,Yes,"Đúng, Bruce Willis là diễn viên trong phim The Expendables."
Family_YesNo,Wyatt Russell có phải là cha/mẹ của Goldie Hawn không?,No,"Sai, Wyatt Russell là con của Goldie Hawn."
MCQ_Director,"Ai là đạo diễn của phim 'Spider-Man: Brand New Day'?
A. Barry Jenkins
B. Craig Chester
C. Stephen Hillenburg
D. Destin Daniel Cretton",D,Đạo diễn của 'Spider-Man: Brand New Day' là Destin Daniel Cretton.
Family_YesNo,Dan Gilroy có phải là cha/mẹ của Frank D. Gilroy không?,No,"Sai, Dan Gilroy là con của Frank D. Gilroy."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Homesman' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Homesman."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Dumbo' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Dumbo."
Family,Cha/Mẹ của Jamie Lee Curtis là ai?,Janet Leigh,Janet Leigh là cha/mẹ của Jamie Lee Curtis.
Family,Cha/Mẹ của Kelsey Grammer là ai?,Frank Allen Grammer,Frank Allen Grammer là cha/mẹ của Kelsey Grammer.
1-hop_YesNo,"Martha Lynch Levacy có tham gia bộ phim 'You, Me and Dupree' không?",No,"Sai, Martha Lynch Levacy không tham gia phim You, Me and Dupree."
1-hop_YesNo,Austin Butler có tham gia bộ phim 'Once Upon a Time in Hollywood' không?,Yes,"Đúng, Austin Butler là diễn viên trong phim Once Upon a Time in Hollywood."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Polar Express' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Polar Express."
2-hop_CoActor,Terry Crews và Bruce Willis có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 2'."
2-hop_CoActor,Jon Stewart và Michael Bloomberg có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Adjustment Bureau'."
